Token,DocuScope Category,Count,Document Count,Frequency (per mil. tokens),% of Documents
this fact,ConfidenceHigh,343,331,1.93,0.77
points on,ExpertVocabulary,343,303,1.93,0.71
grounds for,Reasoning,343,301,1.93,0.70
an effort to,PurposePlan,343,309,1.93,0.72
stylistic,ExpertVocabulary,343,199,1.93,0.47
storyteller,CharacterTypes,343,196,1.93,0.46
sure what,ConfidenceHigh,343,329,1.93,0.77
janitor,CharacterTypes,343,258,1.93,0.60
can put,ConfidenceHedged,343,328,1.93,0.77
pointing out that,CitationNeutral,342,327,1.92,0.77
in the light of,Reasoning,342,309,1.92,0.72
analyze the,Reasoning,342,308,1.92,0.72
asserts that,CitationControversy,342,290,1.92,0.68
the way in which,ExpertVocabulary,342,286,1.92,0.67
demonstrate the,ConfidenceHigh,342,319,1.92,0.75
circulated,ExpertVocabulary,342,296,1.92,0.69
general assembly,ExpertVocabulary,342,221,1.92,0.52
proponents,CharacterTypes,342,252,1.92,0.59
162,InformationQuantities,342,243,1.92,0.57
pot .,ExpertVocabulary,342,276,1.92,0.65
not likely,ConfidenceLow,342,324,1.92,0.76
champion of,CharacterTypes,342,281,1.92,0.66
11 %,InformationQuantities,342,233,1.92,0.55
number in,InformationQuantities,342,319,1.92,0.75
i could say,ReaderDirectedMetadiscourseFP,342,318,1.92,0.74
acquaintance,CharacterTypes,341,284,1.92,0.66
written in the,CitationNeutral,341,308,1.92,0.72
forestry,ExpertVocabulary,341,154,1.92,0.36
aimed to,PurposePlan,341,291,1.92,0.68
finds that,CitationAuthority,341,273,1.92,0.64
torque,ExpertVocabulary,341,137,1.92,0.32
college student,CharacterTypes,341,243,1.92,0.57
more than an,InformationComparison,341,333,1.92,0.78
mercer,CharacterTypes,341,144,1.92,0.34
defense attorney,CharacterTypes,341,235,1.92,0.55
medic,CharacterTypes,341,206,1.92,0.48
twenty-one,InformationQuantities,340,301,1.91,0.70
westerners,CharacterTypes,340,256,1.91,0.60
the teaching,CitationAuthority,340,234,1.91,0.55
asymmetry,ExpertVocabulary,340,152,1.91,0.36
solids,ExpertVocabulary,340,149,1.91,0.35
he can be,ConfidenceHedged,340,315,1.91,0.74
i mean that,ReaderDirectedMetadiscourseFP,340,318,1.91,0.74
booker,CharacterTypes,340,114,1.91,0.27
acquaintances,CharacterTypes,339,280,1.91,0.66
"for this reason ,",Reasoning,339,300,1.91,0.70
than if,InformationComparison,339,318,1.91,0.74
".
15",InformationQuantities,339,327,1.91,0.77
his vision,PurposePlan,339,308,1.91,0.72
waiters,CharacterTypes,339,265,1.91,0.62
impatiently,CharacterTypes,339,299,1.91,0.70
habits of,ExpertVocabulary,338,280,1.90,0.66
was possible,ConfidenceHedged,338,328,1.90,0.77
is strong,ConfidenceHigh,338,301,1.90,0.70
pursue a,PurposePlan,338,314,1.90,0.74
arabian,CharacterTypes,338,245,1.90,0.57
an elderly,CharacterTypes,338,313,1.90,0.73
waiver,ExpertVocabulary,338,178,1.90,0.42
big boy,CharacterTypes,338,289,1.90,0.68
resembled,InformationComparison,337,312,1.89,0.73
".
even though",Reasoning,337,323,1.89,0.76
couple's,CharacterTypes,337,283,1.89,0.66
later than,InformationComparison,337,274,1.89,0.64
judge's,CharacterTypes,337,247,1.89,0.58
206,InformationQuantities,337,221,1.89,0.52
sigma,ExpertVocabulary,337,144,1.89,0.34
bulky,CharacterTypes,337,305,1.89,0.71
anthropological,ExpertVocabulary,336,183,1.89,0.43
in this respect,ReaderDirectedMetadiscourse,336,282,1.89,0.66
. the result is,Reasoning,336,308,1.89,0.72
tended to be,ConfidenceHedged,336,286,1.89,0.67
as were,InformationComparison,336,316,1.89,0.74
sample size,ExpertVocabulary,336,199,1.89,0.47
introduced the,ReaderDirectedMetadiscourse,336,313,1.89,0.73
".
14",InformationQuantities,336,325,1.89,0.76
cross-cultural,ExpertVocabulary,335,161,1.88,0.38
manpower,ExpertVocabulary,335,273,1.88,0.64
has been used,PurposePlan,335,309,1.88,0.72
hong,ExpertVocabulary,335,166,1.88,0.39
an indian,CharacterTypes,335,256,1.88,0.60
impossibly,ConfidenceLow,335,303,1.88,0.71
she tells,CitationNeutral,335,281,1.88,0.66
a web,ExpertVocabulary,335,257,1.88,0.60
archaeologist,CharacterTypes,335,169,1.88,0.40
carney,CharacterTypes,335,112,1.88,0.26
ensign,CharacterTypes,335,124,1.88,0.29
a mom,CharacterTypes,335,274,1.88,0.64
quota,ExpertVocabulary,334,220,1.88,0.51
has been made,PurposePlan,334,313,1.88,0.73
irrespective of,Reasoning,334,264,1.88,0.62
simply be,ConfidenceHigh,334,313,1.88,0.73
anglo,CharacterTypes,334,123,1.88,0.29
farmer's,CharacterTypes,334,225,1.88,0.53
can save,ConfidenceHedged,334,309,1.88,0.72
commercially,ExpertVocabulary,333,283,1.87,0.66
".
furthermore",ReaderDirectedMetadiscourse,333,306,1.87,0.72
some place,ConfidenceHedged,333,308,1.87,0.72
multilateral,ExpertVocabulary,333,171,1.87,0.40
one-way,InformationQuantities,333,235,1.87,0.55
table 5,MethodsResultsDiscussion,333,219,1.87,0.51
pulmonary,ExpertVocabulary,333,149,1.87,0.35
230,InformationQuantities,333,275,1.87,0.64
negroes,CharacterTypes,333,169,1.87,0.40
officer's,CharacterTypes,333,241,1.87,0.56
almost everyone,Reasoning,333,311,1.87,0.73
lulu,CharacterTypes,333,100,1.87,0.23
i can assure,ReaderDirectedMetadiscourseFP,333,309,1.87,0.72
commented on,CitationNeutral,332,279,1.87,0.65
as for the,ReaderDirectedMetadiscourse,332,322,1.87,0.75
168,InformationQuantities,332,236,1.87,0.55
shown that,CitationAuthority,332,312,1.87,0.73
other studies,PurposePlan,332,278,1.87,0.65
the point is that,ReaderDirectedMetadiscourse,332,298,1.87,0.70
godfather,CharacterTypes,332,225,1.87,0.53
school library,ExpertVocabulary,332,106,1.87,0.25
layered,ExpertVocabulary,332,291,1.87,0.68
some will,ConfidenceHedged,331,274,1.86,0.64
induced by,Reasoning,331,220,1.86,0.51
framers,CharacterTypes,331,132,1.86,0.31
introduced a,ReaderDirectedMetadiscourse,331,306,1.86,0.72
utopia,ExpertVocabulary,331,238,1.86,0.56
conjunction,ExpertVocabulary,331,288,1.86,0.67
the conventional,CitationAuthority,331,251,1.86,0.59
fatty,ExpertVocabulary,331,220,1.86,0.51
cadet,CharacterTypes,331,111,1.86,0.26
as a kind of,InformationComparison,330,303,1.86,0.71
just as a,InformationComparison,330,316,1.86,0.74
connect the,ExpertVocabulary,330,286,1.86,0.67
we agree,ReaderDirectedMetadiscourseFP,330,285,1.86,0.67
idealistic,CharacterTypes,330,277,1.86,0.65
concludes that,Reasoning,330,274,1.86,0.64
clustering,ExpertVocabulary,330,125,1.86,0.29
industrial revolution,ExpertVocabulary,330,200,1.86,0.47
215,InformationQuantities,330,237,1.86,0.55
heirs,CharacterTypes,330,239,1.86,0.56
pediatrician,CharacterTypes,330,240,1.86,0.56
discusses the,CitationNeutral,330,280,1.86,0.66
outcome of,Reasoning,330,287,1.86,0.67
valet,CharacterTypes,330,181,1.86,0.42
reflex,ExpertVocabulary,330,248,1.86,0.58
liberal arts,ExpertVocabulary,329,195,1.85,0.46
anatomical,ExpertVocabulary,329,171,1.85,0.40
colombian,CharacterTypes,329,168,1.85,0.39
to the fact,ConfidenceHigh,329,317,1.85,0.74
unilaterally,ExpertVocabulary,329,252,1.85,0.59
handicap,ExpertVocabulary,329,241,1.85,0.56
clustered,ExpertVocabulary,329,252,1.85,0.59
focal point,ExpertVocabulary,329,265,1.85,0.62
apart from the,ReaderDirectedMetadiscourse,329,309,1.85,0.72
pharmacist,CharacterTypes,329,172,1.85,0.40
montage,ExpertVocabulary,329,210,1.85,0.49
it might have been,ConfidenceHedged,329,306,1.85,0.72
captains,CharacterTypes,329,225,1.85,0.53
stat,ExpertVocabulary,329,241,1.85,0.56
has more than,InformationComparison,329,305,1.85,0.71
bio,ExpertVocabulary,329,252,1.85,0.59
percentages of,ExpertVocabulary,328,213,1.84,0.50
analyses of,Reasoning,328,256,1.84,0.60
reactionary,CharacterTypes,328,254,1.84,0.59
167,InformationQuantities,328,237,1.84,0.55
resulting in a,Reasoning,328,302,1.84,0.71
148,InformationQuantities,328,231,1.84,0.54
that led to,Reasoning,328,312,1.84,0.73
headmaster,CharacterTypes,328,101,1.84,0.24
cheerleaders,CharacterTypes,328,223,1.84,0.52
field goal,ExpertVocabulary,328,168,1.84,0.39
much like the,InformationComparison,328,310,1.84,0.73
countess,CharacterTypes,328,87,1.84,0.20
sepsis,ExpertVocabulary,328,44,1.84,0.10
feels like a,InformationComparison,328,317,1.84,0.74
stem cell,ExpertVocabulary,328,110,1.84,0.26
it is likely that,ConfidenceHigh,327,295,1.84,0.69
planned for,PurposePlan,327,312,1.84,0.73
nothing more than a,InformationComparison,327,315,1.84,0.74
139,InformationQuantities,327,258,1.84,0.60
fine arts,ExpertVocabulary,327,219,1.84,0.51
143,InformationQuantities,327,238,1.84,0.56
i was saying,ReaderDirectedMetadiscourse,327,304,1.84,0.71
",
for",Reasoning,327,321,1.84,0.75
renewable,ExpertVocabulary,327,168,1.84,0.39
nonfiction,ExpertVocabulary,327,217,1.84,0.51
to spare,PurposePlan,327,306,1.84,0.72
adam's,CharacterTypes,327,143,1.84,0.33
talk about a,CitationNeutral,327,311,1.84,0.73
the old woman,CharacterTypes,327,158,1.84,0.37
parishioners,CharacterTypes,327,180,1.84,0.42
carcinoma,ExpertVocabulary,327,79,1.84,0.18
is seen as,Reasoning,326,289,1.83,0.68
myth .,ExpertVocabulary,326,275,1.83,0.64
i would argue,ReaderDirectedMetadiscourseFP,326,265,1.83,0.62
education system,ExpertVocabulary,326,243,1.83,0.57
feature of,ExpertVocabulary,326,305,1.83,0.71
occupants,CharacterTypes,326,247,1.83,0.58
tallest,InformationComparison,326,267,1.83,0.62
menopause,ExpertVocabulary,326,140,1.83,0.33
placebo,ExpertVocabulary,326,115,1.83,0.27
distal,ExpertVocabulary,326,98,1.83,0.23
owner's,ExpertVocabulary,326,253,1.83,0.59
approximation,ConfidenceHedged,325,239,1.83,0.56
considered to be,CitationControversy,325,300,1.83,0.70
maiden,CharacterTypes,325,207,1.83,0.48
result in a,Reasoning,325,299,1.83,0.70
reasons to,Reasoning,325,295,1.83,0.69
contradict,Reasoning,325,283,1.83,0.66
lecturer,CharacterTypes,325,252,1.83,0.59
costs for,ExpertVocabulary,325,275,1.83,0.64
treated like,ReaderDirectedMetadiscourse,325,299,1.83,0.70
extracted from,Reasoning,325,256,1.83,0.60
senior citizens,CharacterTypes,325,223,1.83,0.52
pentecostal,ExpertVocabulary,325,96,1.83,0.22
on the ballot,ExpertVocabulary,325,229,1.83,0.54
light-years,ExpertVocabulary,325,175,1.83,0.41
regression analysis,Reasoning,324,169,1.82,0.40
data is,MethodsResultsDiscussion,324,263,1.82,0.62
leads to a,Reasoning,324,301,1.82,0.70
ambassadors,CharacterTypes,324,231,1.82,0.54
; those,ReaderDirectedMetadiscourse,324,292,1.82,0.68
district of,ExpertVocabulary,324,240,1.82,0.56
to what extent,InformationComparison,324,265,1.82,0.62
sinner,CharacterTypes,324,221,1.82,0.52
". in """,ExpertVocabulary,324,233,1.82,0.55
twenty-two,InformationQuantities,324,292,1.82,0.68
funniest,InformationComparison,324,266,1.82,0.62
than that of,InformationComparison,323,289,1.82,0.68
orientations,ExpertVocabulary,323,184,1.82,0.43
comprised of,Reasoning,323,296,1.82,0.69
densities,ExpertVocabulary,323,150,1.82,0.35
aerobic,ExpertVocabulary,323,133,1.82,0.31
words like,ReaderDirectedMetadiscourse,323,306,1.82,0.72
more details,InformationComparison,323,250,1.82,0.59
rents,ExpertVocabulary,323,239,1.82,0.56
some would,ConfidenceHedged,323,299,1.82,0.70
comparison to,InformationComparison,323,294,1.82,0.69
assurances,ConfidenceHigh,322,262,1.81,0.61
remote control,ExpertVocabulary,322,218,1.81,0.51
are provided,ExpertVocabulary,322,285,1.81,0.67
16 %,InformationQuantities,322,238,1.81,0.56
they show,CitationAuthority,322,302,1.81,0.71
superstition,ExpertVocabulary,322,237,1.81,0.55
its way,CharacterTypes,322,310,1.81,0.73
housewives,CharacterTypes,322,215,1.81,0.50
backers,CharacterTypes,322,215,1.81,0.50
air conditioning,ExpertVocabulary,322,246,1.81,0.58
big question,PurposePlan,322,273,1.81,0.64
cause for,Reasoning,321,303,1.80,0.71
narrower,InformationComparison,321,261,1.80,0.61
is the same as,InformationComparison,321,294,1.80,0.69
defining the,ReaderDirectedMetadiscourse,321,279,1.80,0.65
163,InformationQuantities,321,235,1.80,0.55
impractical,CharacterTypes,321,263,1.80,0.62
260,InformationQuantities,321,245,1.80,0.57
age groups,ExpertVocabulary,321,181,1.80,0.42
195,InformationQuantities,321,251,1.80,0.59
multinational,ExpertVocabulary,321,254,1.80,0.59
152,InformationQuantities,321,233,1.80,0.55
macho,CharacterTypes,321,265,1.80,0.62
sci-fi,ExpertVocabulary,321,197,1.80,0.46
coast guard,ExpertVocabulary,321,193,1.80,0.45
body weight,ExpertVocabulary,320,186,1.80,0.44
as a form of,Reasoning,320,284,1.80,0.66
averages,ExpertVocabulary,320,247,1.80,0.58
fairy tale,ExpertVocabulary,320,268,1.80,0.63
seeing as,InformationComparison,320,277,1.80,0.65
keepers,CharacterTypes,320,225,1.80,0.53
specs,ExpertVocabulary,320,201,1.80,0.47
differ in,InformationComparison,319,238,1.79,0.56
influenced the,Reasoning,319,282,1.79,0.66
deliberations,PurposePlan,319,260,1.79,0.61
biologically,ExpertVocabulary,319,253,1.79,0.59
configurations,ExpertVocabulary,319,222,1.79,0.52
tentatively,ConfidenceHedged,319,296,1.79,0.69
dialect,ExpertVocabulary,319,200,1.79,0.47
jesuit,CharacterTypes,319,154,1.79,0.36
surrogate,CharacterTypes,319,272,1.79,0.64
were developed,MethodsResultsDiscussion,319,276,1.79,0.65
only four,InformationQuantities,319,308,1.79,0.72
could call,ConfidenceHedged,319,305,1.79,0.71
look like the,InformationComparison,319,302,1.79,0.71
all here,Reasoning,319,291,1.79,0.68
more fully,ConfidenceHedged,318,287,1.79,0.67
classifications,ExpertVocabulary,318,168,1.79,0.39
formations,ExpertVocabulary,318,229,1.79,0.54
conformity,ExpertVocabulary,318,237,1.79,0.55
negotiators,CharacterTypes,318,212,1.79,0.50
has caused,Reasoning,318,301,1.79,0.70
locus,ExpertVocabulary,318,111,1.79,0.26
that would have been,Reasoning,318,304,1.79,0.71
copyrighted,ExpertVocabulary,318,123,1.79,0.29
old men,CharacterTypes,318,275,1.79,0.64
", as if they",InformationComparison,318,283,1.79,0.66
guitarist,CharacterTypes,318,198,1.79,0.46
free agent,CharacterTypes,318,191,1.79,0.45
further than,InformationComparison,317,308,1.78,0.72
writes that,CitationNeutral,317,249,1.78,0.58
see table 1,MethodsResultsDiscussion,317,265,1.78,0.62
slayer,CharacterTypes,317,134,1.78,0.31
161,InformationQuantities,317,218,1.78,0.51
to repeat,ReaderDirectedMetadiscourse,317,294,1.78,0.69
the brothers,CharacterTypes,317,231,1.78,0.54
semantics,ExpertVocabulary,317,208,1.78,0.49
sister-in-law,CharacterTypes,317,221,1.78,0.52
sans,ExpertVocabulary,317,212,1.78,0.50
. and when the,Reasoning,317,306,1.78,0.72
".
it is a",ConfidenceHigh,317,302,1.78,0.71
we think that,ReaderDirectedMetadiscourseFP,317,291,1.78,0.68
it would be like,InformationComparison,317,306,1.78,0.72
nationalists,CharacterTypes,316,174,1.78,0.41
confirm that,CitationAuthority,316,292,1.78,0.68
142,InformationQuantities,316,234,1.78,0.55
independent variables,MethodsResultsDiscussion,316,162,1.78,0.38
".
most of the",ConfidenceHedged,316,304,1.78,0.71
physical evidence,Reasoning,316,224,1.78,0.52
could change,ConfidenceHedged,316,310,1.78,0.73
fruits and vegetables,ExpertVocabulary,316,201,1.78,0.47
like most,Reasoning,316,305,1.78,0.71
psych,ExpertVocabulary,316,230,1.78,0.54
clauses,ExpertVocabulary,315,181,1.77,0.42
thirty-five,InformationQuantities,315,286,1.77,0.67
measured in,ExpertVocabulary,315,272,1.77,0.64
susceptibility,ExpertVocabulary,315,184,1.77,0.43
statesman,CharacterTypes,315,233,1.77,0.55
".
we can",ConfidenceHedged,315,284,1.77,0.66
monarch,CharacterTypes,315,208,1.77,0.49
biographer,CharacterTypes,315,235,1.77,0.55
carbohydrates,ExpertVocabulary,315,165,1.77,0.39
trivia,ExpertVocabulary,315,225,1.77,0.53
can produce,ConfidenceHedged,314,287,1.77,0.67
has been shown to,PurposePlan,314,244,1.77,0.57
sociologist,CharacterTypes,314,235,1.77,0.55
jordanian,CharacterTypes,314,128,1.77,0.30
and overall,Reasoning,314,265,1.77,0.62
159,InformationQuantities,314,223,1.77,0.52
partner's,CharacterTypes,314,245,1.77,0.57
may require,ConfidenceHedged,314,272,1.77,0.64
voodoo,ExpertVocabulary,314,193,1.77,0.45
fahrenheit,ExpertVocabulary,314,215,1.77,0.50
built for,ExpertVocabulary,314,285,1.77,0.67
detection of,ExpertVocabulary,314,186,1.77,0.44
. and even if,Reasoning,314,305,1.77,0.71
geeks,CharacterTypes,314,218,1.77,0.51
capitalist,CharacterTypes,313,241,1.76,0.56
can be an,ConfidenceHedged,313,297,1.76,0.70
points of view,ExpertVocabulary,313,265,1.76,0.62
involving a,Reasoning,313,282,1.76,0.66
twenty-three,InformationQuantities,313,277,1.76,0.65
mural,ExpertVocabulary,313,154,1.76,0.36
the gentleman,CharacterTypes,313,249,1.76,0.58
syllable,ExpertVocabulary,313,200,1.76,0.47
".
16",InformationQuantities,313,306,1.76,0.72
recognise,ConfidenceHigh,313,237,1.76,0.55
white woman,CharacterTypes,313,212,1.76,0.50
secretaries,CharacterTypes,313,251,1.76,0.59
the stranger,CharacterTypes,313,183,1.76,0.43
so my,Reasoning,313,292,1.76,0.68
much harder,InformationComparison,312,291,1.75,0.68
english-speaking,ExpertVocabulary,312,162,1.75,0.38
is evident,ConfidenceHigh,312,286,1.75,0.67
motion of,ExpertVocabulary,312,250,1.75,0.59
sociological,ExpertVocabulary,312,245,1.75,0.57
workload,ExpertVocabulary,312,194,1.75,0.45
nuances,Reasoning,312,276,1.75,0.65
is provided,ExpertVocabulary,312,264,1.75,0.62
could play,ConfidenceHedged,312,289,1.75,0.68
organizer,CharacterTypes,312,232,1.75,0.54
on the subject of,ReaderDirectedMetadiscourse,312,294,1.75,0.69
align,InformationComparison,312,265,1.75,0.62
jargon,ExpertVocabulary,311,248,1.75,0.58
it is quite,ConfidenceHigh,311,295,1.75,0.69
appear as,InformationComparison,311,285,1.75,0.67
agent of,Reasoning,311,260,1.75,0.61
new deal,ExpertVocabulary,311,189,1.75,0.44
proved to be,ConfidenceHigh,311,295,1.75,0.69
morphology,ExpertVocabulary,311,147,1.75,0.34
treasurer,CharacterTypes,311,223,1.75,0.52
he looks like,InformationComparison,311,288,1.75,0.67
billionaires,CharacterTypes,311,223,1.75,0.52
social change,ExpertVocabulary,310,249,1.74,0.58
on the grounds that,Reasoning,310,269,1.74,0.63
clientele,ExpertVocabulary,310,270,1.74,0.63
pharaoh,CharacterTypes,310,103,1.74,0.24
the distinction between,ExpertVocabulary,310,265,1.74,0.62
proposed that,ReaderDirectedMetadiscourse,310,264,1.74,0.62
my goal,PurposePlan,310,280,1.74,0.66
recourse,ExpertVocabulary,310,266,1.74,0.62
involved a,Reasoning,310,290,1.74,0.68
171,InformationQuantities,310,208,1.74,0.49
may result,ConfidenceHedged,310,264,1.74,0.62
sure thing,ConfidenceHigh,310,274,1.74,0.64
all of which,Reasoning,310,296,1.74,0.69
it made me,Reasoning,310,287,1.74,0.67
sees that,CitationAuthority,310,266,1.74,0.62
maestro,CharacterTypes,310,102,1.74,0.24
hz,ExpertVocabulary,309,90,1.74,0.21
is the result of,Reasoning,309,294,1.74,0.69
the other half,ExpertVocabulary,309,297,1.74,0.70
claim the,CitationControversy,309,286,1.74,0.67
role as a,InformationComparison,309,282,1.74,0.66
fundamentalists,CharacterTypes,309,203,1.74,0.48
sheikh,CharacterTypes,309,140,1.74,0.33
and so forth .,ReaderDirectedMetadiscourse,309,268,1.74,0.63
caricature,ExpertVocabulary,309,253,1.74,0.59
makes him,Reasoning,309,289,1.74,0.68
all in all,Reasoning,309,291,1.74,0.68
utilitarian,ExpertVocabulary,309,216,1.74,0.51
causality,Reasoning,309,170,1.74,0.40
only need,PurposePlan,309,291,1.74,0.68
she could be,ConfidenceHedged,309,293,1.74,0.69
